encoder,window,accuracy,macro_f1,jitter_ratio
dinov2_vits14,1,0.6888119971275666,0.5838056323843822,110.52291666666666
dinov2_vits14,3,0.719824625853022,0.6193355903292517,55.72812499999999
dinov2_vits14,5,0.7376520163787301,0.6412528494304237,36.96875
dinov2_vits14,9,0.7555682812243207,0.6637224082886557,22.615625
dinov2_vits14,15,0.7669955395259467,0.6815214661497303,14.819791666666667
dinov2_vits14,31,0.7823281734185724,0.6890208260275281,8.096875
dinov2_vits14,61,0.7788607361371,0.648837750115371,3.8875
dinov2_vits14,121,0.7469890334779228,0.5497194758805427,2.2375
clip_vitb16,1,0.6612346066241057,0.5563516805523996,124.33749999999999
clip_vitb16,3,0.6937589448078866,0.5920189808185722,63.6875
clip_vitb16,5,0.714726443883916,0.6168278537005755,41.91979166666667
clip_vitb16,9,0.73543729797289,0.6437738217572644,25.170833333333334
clip_vitb16,15,0.7518514188975227,0.6601375369901704,16.54479166666667
clip_vitb16,31,0.7637607398036852,0.6629176369372817,8.245833333333334
clip_vitb16,61,0.7582919762538679,0.6203760936242235,4.542708333333333
clip_vitb16,121,0.7180925709534172,0.499961479950307,2.3677083333333333
endovit_vitb16,1,0.7191525946128519,0.6072997223298378,79.71770833333333
endovit_vitb16,3,0.7386200794672129,0.6317307170381772,39.48645833333333
endovit_vitb16,5,0.7507936673699178,0.6494088402735687,26.53125
endovit_vitb16,9,0.7621815274610542,0.6694789001674442,16.40416666666667
endovit_vitb16,15,0.7705248630951307,0.6739550991822193,10.758333333333333
endovit_vitb16,31,0.7771182937376133,0.6697271616260105,5.545833333333333
endovit_vitb16,61,0.7648887636177912,0.6078933975545163,3.3291666666666666
endovit_vitb16,121,0.7265141821900419,0.49858465053932255,2.0729166666666665
