encoder,video,n_frames,frame_acc,drift_mean,drift_p95,pred_transitions_per_100,true_transitions_per_100,jitter_ratio,pred_segments,mean_run_len,stability,consistency,conditional_score
dinov2_vits14,video68,1972,0.7398580121703854,0.12050900608301163,0.3292822241783142,22.22222222222222,0.30441400304414,73.0,439,4.492027334851937,0.4024772644042969,0.994421906693712,0.40023220866979015
dinov2_vits14,video69,4575,0.825136612021858,0.09589865803718567,0.20957626402378082,16.39702667249672,0.10931351114997814,150.0,751,6.091877496671105,0.40829020738601685,0.9978142076502732,0.40739776977424413
dinov2_vits14,video70,1194,0.5720268006700168,0.11941482126712799,0.26351338624954224,28.583403185247274,0.5029337803855826,56.83333333333333,342,3.491228070175439,0.3515208959579468,0.990787269681742,0.3482824287422538
dinov2_vits14,video71,2515,0.731610337972167,0.13147802650928497,0.3109356462955475,17.183770883054894,0.19888623707239458,86.4,433,5.808314087759816,0.34989768266677856,0.9964214711729622,0.3486455637228418
dinov2_vits14,video72,3106,0.6165486155827431,0.12094765901565552,0.273471862077713,30.82125603864734,0.1932367149758454,159.5,958,3.242171189979123,0.34031903743743896,0.9948486799742434,0.33856594516474126
dinov2_vits14,video73,1356,0.7625368731563422,0.14269810914993286,0.35739561915397644,24.870848708487085,0.44280442804428044,56.166666666666664,338,4.011834319526627,0.2925393581390381,0.9970501474926253,0.29167641017992585
dinov2_vits14,video74,1634,0.4583843329253366,0.1037752777338028,0.2284763604402542,31.598285364360073,0.3674219228413962,86.0,517,3.160541586073501,0.34703540802001953,0.9951040391676866,0.34533633625492766
dinov2_vits14,video75,1923,0.7243889755590224,0.11319462209939957,0.27932271361351013,23.985431841831424,0.2601456815816857,92.2,462,4.162337662337662,0.43223071098327637,0.9973998959958398,0.43110686618092775
dinov2_vits14,video76,2649,0.7130992827482069,0.13566474616527557,0.30346977710723877,24.546827794561935,0.22658610271903323,108.33333333333334,651,4.0691244239631335,0.3110647201538086,0.9969799924499811,0.3101253023503996
dinov2_vits14,video77,2502,0.7885691446842525,0.11947444081306458,0.319141149520874,19.392243102758897,0.23990403838464613,80.83333333333334,486,5.148148148148148,0.3500543236732483,0.995603517186251,0.3485153158553403
dinov2_vits14,video78,739,0.6129905277401895,0.1391398310661316,0.4250679612159729,31.165311653116532,0.8130081300813008,38.333333333333336,231,3.1991341991341993,0.36207813024520874,0.993234100135318,0.35962834587277837
dinov2_vits14,video79,3414,0.69302870533099,0.11487880349159241,0.2576209306716919,26.72135950776443,0.17579841781423966,152.0,913,3.7393209200438116,0.30478107929229736,0.9976567076742824,0.3040668881281678
dinov2_vits14,video80,1724,0.7981438515081206,0.10002017021179199,0.25793567299842834,18.04991294254208,0.3482298316889147,51.833333333333336,312,5.5256410256410255,0.33370596170425415,0.9930394431554525,0.3313831823884473
clip_vitb16,video49,1671,0.720526630760024,0.046370599418878555,0.12851864099502563,31.197604790419163,0.3592814371257485,86.83333333333334,522,3.2011494252873565,0.19234120845794678,0.9922202274087373,0.1908448375962153
clip_vitb16,video50,1094,0.7586837294332724,0.039262015372514725,0.08823146671056747,24.794144556267156,0.45745654162854527,54.2,272,4.022058823529412,0.09655839204788208,0.9972577696526508,0.09629360669491713
clip_vitb16,video51,2944,0.6990489130434783,0.03416377678513527,0.09641619026660919,28.440366972477065,0.2038735983690112,139.5,838,3.513126491646778,0.21181732416152954,0.9945652173913043,0.210666143051956
clip_vitb16,video52,1966,0.7004069175991862,0.034648336470127106,0.09061815589666367,30.025445292620866,0.3053435114503817,98.33333333333333,591,3.326565143824027,0.22895342111587524,0.9954221770091557,0.22790531288085852
clip_vitb16,video53,3283,0.6947913493755711,0.037262238562107086,0.09384476393461227,26.751980499695307,0.18281535648994515,146.33333333333334,879,3.7349260523321957,0.22973567247390747,0.9969540054827901,0.22903589887514442
clip_vitb16,video54,3100,0.7064516129032258,0.03634503111243248,0.0978875383734703,31.300419490158117,0.1936108422071636,161.66666666666669,971,3.192584963954686,0.22573602199554443,0.9951612903225806,0.22464375092137243
clip_vitb16,video55,1037,0.7405978784956606,0.04291272908449173,0.11769737303256989,24.034749034749034,0.5791505791505791,41.5,250,4.148,0.10040992498397827,0.991321118611379,0.09953847915480199
clip_vitb16,video56,1834,0.4623773173391494,0.0635521188378334,0.2689805030822754,35.679214402618655,0.32733224222585927,108.99999999999999,655,2.8,0.16250485181808472,0.995092693565976,0.1617073907131977
clip_vitb16,video57,2632,0.6800911854103343,0.042603541165590286,0.11582034826278687,31.12884834663626,0.22805017103762829,136.5,820,3.209756097560976,0.19915825128555298,0.9950607902735562,0.19817456691370183
clip_vitb16,video58,5993,0.5167695644919073,0.045224789530038834,0.11759795248508453,39.068758344459276,0.10013351134846461,390.1666666666667,2342,2.558923996584116,0.07870423793792725,0.9986651092941765,0.07859917638219499
clip_vitb16,video59,1046,0.7466539196940727,0.036566805094480515,0.08705679327249527,22.20095693779904,0.5741626794258373,38.666666666666664,233,4.489270386266094,0.18888771533966064,0.9866156787762906,0.18635958148234205
clip_vitb16,video60,2532,0.5106635071090048,0.0531482957303524,0.169841468334198,41.841169498222044,0.2370604504148558,176.49999999999997,1060,2.388679245283019,0.21291440725326538,0.995260663507109,0.21190533423310773
clip_vitb16,video61,4409,0.5604445452483556,0.04749072343111038,0.15932828187942505,32.577132486388386,0.13611615245009073,239.33333333333337,1437,3.068197633959638,0.2496333122253418,0.9970514855976412,0.24889726480893684
clip_vitb16,video62,2032,0.7219488188976378,0.03024069219827652,0.0646008849143982,22.94436238306253,0.29542097488921715,77.66666666666666,467,4.3511777301927195,0.07288461923599243,0.9940944881889764,0.07245419825625232
clip_vitb16,video63,3433,0.47276434605301487,0.04152725636959076,0.10585832595825195,40.442890442890445,0.17482517482517482,231.33333333333334,1389,2.4715622750179986,0.16947507858276367,0.9979609670841829,0.16912951331912274
clip_vitb16,video64,2398,0.5275229357798165,0.04257321357727051,0.10835278034210205,33.541927409261575,0.2503128911138924,134.0,805,2.9788819875776396,0.22187447547912598,0.9966638865721434,0.22113427706218144
clip_vitb16,video65,1873,0.7394554191137213,0.060157131403684616,0.1767275035381317,27.564102564102566,0.2670940170940171,103.2,517,3.622823984526112,0.26851314306259155,0.997330485851575,0.2677963434281479
